Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
No,397,iOS and Android,44870,1,3,Game,58,19094,4,No,11,No,4,1,26
Yes,240,iOS,39375,16,1,Financial,72,3919,1,Yes,22,Yes,2,0,10
No,,,24185,1,4,Social media,48,6825,0,No,11,No,4,1,10
No,330,iOS and Android,16695,1,4,Medical,42,10248,3,No,14,No,4,1,24
No,345,iOS and Android,,1,4,Social media,83,18947,3,No,12,No,4,0,22
No,247,iOS and Android,,1,3,Medical,78,2496,4,No,11,No,4,0,7
No,330,iOS and Android,51065,10,4,Other,41,6465,2,Yes,13,No,4,0,9
No,225,iOS and Android,4375,1,2,Medical,83,2206,1,No,13,No,1,0,10
Yes,292,iOS and Android,31325,1,3,Entertainment,56,2086,3,No,14,No,3,1,19
Yes,180,iOS and Android,28455,1,3,Medical,61,2293,2,Yes,16,No,1,1,6
No,322,iOS and Android,44555,1,2,Medical,72,2645,1,No,12,No,4,2,6
Yes,375,iOS and Android,30415,1,2,Social media,86,2683,1,Yes,14,No,3,0,3
No,262,iOS and Android,31150,1,3,Social media,97,2014,1,No,13,No,1,0,2
No,270,iOS and Android,29820,1,4,Financial,82,3419,9,Yes,14,No,4,1,6
No,247,iOS,39935,1,Three,Financial,42,5376,2,No,19,No,1,2,10
No,262,iOS and Android,16240,1,2,Other,75,1951,1,No,12,No,3,1,1
No,202,iOS and Android,43400,1,4,Financial,33,2341,1,No,13,No,4,1,1
Yes,195,iOS and Android,47495,25,3,Financial,48,2293,1,No,12,No,3,0,1
No,202,iOS,34790,1,3,Financial,37,8726,1,No,15,No,4,0,9
No,225,iOS,25235,1,2,Medical,58,4011,1,No,23,Yes,4,0,12
Yes,307,iOS and Android,47600,12,3,Entertainment,49,19545,1,No,12,No,4,0,23
No,255,ANDROID,,23,4,Social media,72,4568,0,No,20,Yes,3,0,10
No,277,iOS and Android,,19,2,Financial,73,3022,4,No,21,Yes,1,0,8
No,345,iOS,42385,1,4,Social media,,5772,4,,21,Yes,3,0,14
No,262,iOS and Android,,1,1,Financial,,2269,1,No,19,No,4,0,1
Yes,360,iOS and Android,,1,2,Financial,98,5381,9,Yes,13,No,4,0,23
Yes,210,iOS and Android,50190,1,4,Entertainment,50,3441,1,Yes,13,No,3,0,2
No,330,iOS and Android,52080,1,5,Social media,75,5454,5,Yes,21,Yes,3,1,9
No,262,ANDROID,38395,11,2,Medical,79,9884,2,Yes,13,No,3,1,10
No,195,iOS and Android,50505,23,3,Social media,47,4157,7,Yes,19,No,3,1,5
No,247,iOS,18025,1,2,Financial,98,13458,1,Yes,12,No,3,0,15
No,262,iOS,29855,18,5,Financial,71,9069,1,No,22,Yes,4,1,9
No,262,iOS and Android,39970,23,4,Medical,3,4014,3,Yes,15,No,3,1,4
No,232,iOS and Android,22925,1,4,Financial,48,5915,3,No,22,Yes,4,1,10
No,277,,39025,1,4,Financial,51,5993,1,No,18,No,3,1,7
No,240,iOS and Android,14945,1,3,Medical,33,6162,1,Yes,22,Yes,2,1,9
No,285,iOS,22855,29,5,Financial,50,2406,1,No,11,No,4,0,10
No,375,iOS and Android,34615,1,2,Medical,43,18740,5,Yes,12,No,4,1,29
No,,iOS and Android,50225,,Three,Financial,99,7637,7,No,11,No,4,0,28
No,270,iOS and Android,42805,,3,Entertainment,59,10096,1,No,13,No,2,3,17
No,412,iOS and Android,29260,1,3,Medical,33,14756,2,Yes,14,No,3,3,21
No,270,iOS,41825,11,3,Financial,95,6499,1,No,13,No,3,0,6
No,,iOS and Android,46865,1,3,Financial,59,9724,2,No,17,No,3,1,25
No,262,iOS,23240,1,3,Medical,79,2194,4,No,13,No,4,1,5
Yes,270,iOS and Android,11130,1,3,Medical,79,3388,0,Yes,17,No,1,1,2
No,,iOS,42875,1,1,Financial,57,5473,7,No,11,No,4,0,20
No,217,iOS and Android,46480,1,3,,76,2703,0,No,23,Yes,4,1,6
No,232,iOS and Android,37870,1,4,Medical,87,2501,1,No,17,No,2,0,1
No,240,iOS and Android,19180,1,3,Financial,66,6220,1,No,17,No,2,2,10
No,270,iOS and Android,4620,1,3,Financial,55,3038,3,No,12,No,2,0,5
No,232,iOS and Android,26110,1,4,Financial,61,4424,1,No,23,Yes,4,0,11
No,262,iOS and Android,27160,1,4,Social media,32,4312,0,No,14,No,2,0,16
No,,iOS and Android,6755,1,4,Other,52,13245,4,Yes,14,No,2,0,17
No,277,iOS and Android,13895,1,4,Medical,3,13664,4,No,13,No,1,0,16
No,345,iOS and Android,33075,1,2,Medical,80,5021,8,Yes,22,Yes,4,1,16
No,225,iOS and Android,29820,1,1,Financial,55,5126,1,Yes,12,No,3,2,10
No,262,iOS and Android,42490,1,3,Medical,3,2859,1,No,18,No,1,0,6
No,412,iOS and Android,3885,1,2,Financial,70,10239,3,No,14,No,4,1,24
No,285,ANDROID,20055,1,3,Medical,79,5329,7,Yes,12,No,4,3,17
No,255,iOS and Android,40355,1,2,Medical,94,4325,1,No,15,No,3,0,5
No,,iOS and Android,49000,1,3,Financial,49,7260,4,No,11,No,1,0,37
No,,iOS and Android,18935,1,1,Entertainment,62,2322,3,No,13,No,3,1,3
No,382,iOS and Android,15120,1,4,Financial,96,2075,3,No,23,Yes,2,2,10
No,225,iOS and Android,10080,1,Three,Financial,99,4152,1,No,19,No,1,3,11
Yes,345,iOS and Android,23415,1,2,Medical,64,9619,1,No,16,No,4,0,9
No,300,iOS,18550,1,4,Financial,78,13503,1,No,22,Yes,4,1,22
No,382,iOS and Android,22120,21,4,Social media,71,5441,0,Yes,22,Yes,4,0,11
No,225,iOS and Android,46690,1,2,Medical,63,5209,1,Yes,12,No,2,3,11
No,345,iOS,22330,1,3,Medical,40,10673,2,Yes,13,No,3,1,21
No,240,iOS and Android,38255,1,4,Medical,87,5010,1,No,16,No,1,0,12
No,405,iOS and Android,42595,1,4,Entertainment,60,13549,9,No,12,No,1,1,16
No,180,iOS and Android,47355,1,2,Other,,4999,0,,21,Yes,1,1,4
No,210,ANDROID,,1,3,Medical,,4221,1,No,15,No,2,0,5
No,435,,23870,10,4,Medical,37,13872,0,No,13,No,3,0,38
No,330,ANDROID,17115,23,3,Medical,67,2042,4,No,12,No,3,1,17
Yes,277,iOS and Android,28245,1,4,Tour and Travel,63,2073,4,Yes,22,Yes,4,0,7
No,240,iOS and Android,28945,1,1,Financial,71,2956,1,No,13,No,4,0,1
Yes,150,iOS,30485,1,3,Financial,66,2926,1,Yes,18,No,2,0,1
No,255,iOS and Android,23275,1,4,Other,41,4809,1,No,14,No,3,0,16
No,277,ANDROID,36400,1,2,Financial,100,5163,5,No,14,No,4,1,17
No,,ANDROID,49700,1,4,Tour and Travel,32,18844,9,No,21,Yes,4,1,30
No,375,iOS,39025,1,3,Financial,73,18172,3,Yes,19,No,1,0,28
Yes,187,iOS and Android,8400,1,3,Social media,46,5744,1,Yes,11,No,4,0,6
No,187,iOS and Android,44800,1,1,Medical,64,2889,1,No,11,No,3,2,2
No,165,iOS and Android,18690,15,3,Medical,59,2871,1,No,15,No,3,0,1
No,382,iOS,50960,1,4,Medical,3,7484,3,No,20,Yes,3,0,23
Yes,255,iOS,23030,1,3,Financial,66,6074,1,Yes,24,Yes,4,0,9
No,405,ANDROID,4970,26,Three,Tour and Travel,3,17328,2,Yes,12,No,3,0,23
No,180,iOS and Android,39445,18,1,Financial,52,2774,0,No,12,No,3,1,6
No,255,iOS and Android,36085,1,4,Financial,45,4505,6,No,15,No,3,1,12
No,277,iOS and Android,41615,1,3,Financial,87,7428,2,No,12,No,1,0,12
No,255,iOS and Android,47390,1,3,Medical,45,11631,2,No,12,No,4,0,14
No,270,iOS,51345,11,2,Entertainment,92,9738,0,No,14,No,3,1,10
No,270,iOS and Android,32270,1,2,Financial,39,2835,5,No,22,Yes,1,1,7
No,322,iOS,13790,26,2,,92,16959,1,Yes,12,No,4,2,25
No,225,iOS,45920,23,3,Financial,,2613,1,No,25,Yes,3,3,10
No,247,ANDROID,26250,22,2,Social media,,6146,0,No,13,No,1,1,8
Yes,,iOS and Android,15435,14,4,Financial,72,4963,9,Yes,18,No,1,3,7
No,382,iOS and Android,23940,1,3,Financial,51,19537,7,No,13,No,3,0,23
Yes,232,iOS and Android,8715,1,4,Financial,76,6172,4,Yes,18,No,2,0,12
No,195,iOS and Android,29435,1,3,Other,46,2368,1,No,19,No,3,0,5
Yes,435,iOS and Android,5145,23,4,Medical,94,10312,1,No,12,No,4,1,40
Yes,42,iOS and Android,18480,22,1,Social media,50,1675,1,Yes,19,No,4,0,0
No,165,iOS and Android,20790,1,1,Entertainment,100,2523,0,No,14,No,3,1,3
No,367,iOS and Android,16450,20,4,Medical,96,6567,1,No,14,No,3,0,16
No,322,iOS,33495,28,3,Medical,72,4739,4,No,12,No,4,0,18
No,375,iOS,28315,12,3,Social media,77,9208,4,No,11,No,4,0,16
Yes,232,iOS and Android,18970,20,3,Financial,71,4559,3,Yes,11,No,3,1,4
No,307,,28070,1,1,Financial,96,8189,3,Yes,13,No,3,1,12
No,195,iOS and Android,47425,25,1,Financial,61,2942,1,No,23,Yes,4,1,8
No,270,iOS and Android,7560,1,2,Medical,84,4941,6,No,20,Yes,4,2,7
Yes,382,iOS,40250,1,4,Financial,53,10650,2,No,15,No,4,0,18
No,292,iOS and Android,,1,4,Financial,47,5902,4,No,14,No,3,1,17
No,187,iOS and Android,,28,Three,Financial,41,8639,2,No,18,No,4,0,6
No,225,iOS and Android,,1,3,Tour and Travel,48,6347,0,Yes,19,No,4,0,12
Yes,240,iOS and Android,36155,1,3,Medical,41,4200,7,No,22,Yes,1,0,10
No,,iOS and Android,46060,29,3,Medical,83,3452,5,No,13,No,2,0,9
No,285,iOS and Android,12740,1,5,Entertainment,32,4317,3,Yes,20,Yes,2,0,19
No,225,iOS and Android,15330,18,3,Financial,75,2632,1,No,14,No,3,0,5
No,240,iOS,24115,1,2,Medical,,4668,0,,17,No,4,3,9
No,225,iOS and Android,7035,1,3,Entertainment,,3204,5,No,14,No,4,1,8
No,225,iOS and Android,49945,1,1,Medical,,2720,0,No,13,No,4,0,6
No,307,iOS,29995,10,3,Financial,91,17181,4,No,13,No,2,1,21
No,307,iOS and Android,32655,1,4,Financial,94,2238,2,No,21,Yes,4,1,7
No,42,iOS and Android,,1,1,Medical,79,1483,1,No,14,No,4,0,1
No,300,iOS,,26,3,Medical,54,5605,1,No,11,No,1,1,20
No,262,iOS and Android,,1,5,Social media,94,7295,1,No,13,No,1,2,10
No,397,iOS and Android,50260,1,2,Social media,34,2306,2,Yes,20,Yes,4,1,13
No,,iOS and Android,,1,3,Financial,60,2348,8,No,18,No,3,1,20
No,240,iOS,33845,1,3,Social media,43,8998,1,No,14,No,4,0,9
No,217,ANDROID,52360,1,1,Entertainment,41,4319,1,No,13,No,1,1,10
No,382,iOS and Android,40915,1,4,Medical,34,6132,2,No,17,No,3,0,10
No,435,iOS and Android,40075,1,3,Medical,75,3346,4,Yes,20,Yes,2,1,9
No,300,iOS and Android,22050,1,4,Social media,67,10855,7,No,11,No,1,1,15
No,255,iOS,10605,1,4,Social media,75,2231,6,No,18,No,4,1,6
No,165,iOS and Android,,19,1,Medical,80,2323,1,No,24,Yes,1,2,2
No,202,,24185,1,3,Medical,57,2024,6,No,18,No,4,1,6
No,210,iOS and Android,,21,3,Medical,42,2713,1,No,11,No,3,1,5
No,427,iOS and Android,,24,2,Financial,83,9439,3,Yes,16,No,2,1,12
No,202,ANDROID,50750,1,Three,Medical,79,2566,1,Yes,15,No,4,1,1
No,375,iOS and Android,50820,11,3,Financial,53,19926,3,No,15,No,2,0,21
No,307,iOS and Android,16275,14,3,Financial,56,2451,4,No,12,No,1,1,13
No,225,iOS and Android,46865,1,3,,41,9419,2,No,12,No,3,1,12
No,285,iOS and Android,24570,1,4,Financial,,8686,4,No,22,Yes,3,0,12
No,240,iOS and Android,,1,5,Financial,,3038,3,No,20,Yes,1,0,8
No,202,iOS and Android,40495,17,3,Entertainment,,3058,0,Yes,16,No,4,1,6
Yes,42,iOS,21070,1,1,Entertainment,100,2325,0,No,21,Yes,1,0,1
No,270,iOS,51800,1,2,Medical,3,2088,4,No,12,No,3,0,13
No,225,ANDROID,3885,1,3,Medical,66,3072,1,No,11,No,3,2,12
No,,iOS and Android,44380,1,2,Financial,3,5006,4,Yes,11,No,1,1,9
No,,iOS and Android,24955,1,3,Financial,67,4257,4,Yes,18,No,3,1,19
No,247,iOS and Android,4690,1,3,Financial,90,2500,0,No,14,No,1,0,4
Yes,42,iOS and Android,10605,1,3,Financial,47,1102,1,No,22,Yes,3,0,1
No,345,iOS and Android,18410,1,2,Social media,92,10453,1,No,25,Yes,3,3,24
No,285,iOS and Android,48300,1,2,Financial,75,2288,1,No,12,No,3,0,2
No,232,iOS and Android,4900,12,1,Medical,95,3929,8,Yes,23,Yes,3,1,7
No,255,iOS and Android,22015,27,2,Medical,95,2311,2,No,15,No,4,0,9
Yes,307,iOS and Android,47460,20,2,Social media,70,3140,1,Yes,22,Yes,4,0,4
No,375,iOS and Android,11480,1,3,Medical,86,3690,2,No,15,No,4,1,5
No,397,iOS and Android,37940,13,2,Medical,57,4450,1,No,11,No,3,2,5
No,247,iOS and Android,32585,14,3,Medical,72,2756,1,No,13,No,4,1,8
No,300,iOS and Android,34615,1,10,Medical,46,19033,1,No,14,No,2,1,21
No,412,iOS and Android,24220,14,4,Medical,61,18722,8,No,11,No,4,0,36
No,255,iOS,37415,1,1,Financial,45,9547,1,No,17,No,3,0,10
No,382,iOS and Android,10955,1,Three,Medical,98,13734,3,No,18,No,3,0,21
No,,iOS and Android,24465,1,4,Financial,65,19999,0,No,14,No,1,1,34
No,202,iOS and Android,31290,1,3,Medical,99,2279,1,No,16,No,4,0,7
Yes,262,iOS and Android,19460,23,2,Financial,,5916,3,,13,No,1,0,8
No,322,ANDROID,47040,1,3,Medical,,2089,4,No,14,No,4,3,7
No,,ANDROID,41825,1,2,Medical,,16792,9,No,23,Yes,4,1,22
No,277,iOS and Android,10150,21,3,Financial,65,3564,1,Yes,12,No,1,1,8
No,262,,,1,3,Medical,37,4425,5,No,11,No,4,0,10
No,,ANDROID,32410,21,2,Medical,36,5265,2,No,16,No,2,1,11
No,285,iOS and Android,44135,1,4,Financial,88,6553,9,No,14,No,2,0,14
No,285,iOS and Android,37940,29,3,Entertainment,54,6261,3,No,18,No,1,1,9
No,202,iOS,16520,1,1,Entertainment,60,4298,5,No,19,No,3,1,6
No,367,ANDROID,35070,18,4,Financial,92,6804,1,Yes,15,No,1,2,7
No,255,iOS,30730,10,4,Medical,43,3815,1,Yes,17,No,4,1,5
No,300,iOS and Android,31675,19,2,Medical,99,2741,8,Yes,15,No,3,1,15
Yes,285,iOS and Android,41300,29,1,Medical,70,6673,7,Yes,19,No,2,0,17
Yes,217,iOS and Android,4235,27,3,Social media,35,7639,1,No,22,Yes,4,3,10
No,165,iOS and Android,39760,1,3,Financial,60,2328,1,Yes,16,No,1,1,4
No,270,iOS,22225,18,1,Medical,73,2153,1,No,13,No,1,0,8
No,300,ANDROID,40285,1,5,Financial,63,4876,9,No,14,No,4,1,5
No,345,iOS and Android,22540,1,4,Medical,97,9396,7,No,16,No,3,1,17
Yes,240,iOS and Android,36575,1,4,Medical,32,10400,1,No,11,No,3,0,14
No,225,ANDROID,29015,1,1,Financial,88,8474,1,No,22,Yes,3,0,12
No,202,iOS,43470,20,3,Financial,90,9981,1,No,14,No,4,0,7
No,382,iOS and Android,51415,1,4,Financial,81,12490,5,No,16,No,4,2,16
Yes,225,iOS and Android,35175,1,3,Entertainment,88,2657,5,Yes,11,No,3,0,8
No,307,iOS and Android,,1,3,Financial,75,13591,3,Yes,18,No,3,0,16
Yes,225,iOS,,26,4,Social media,52,6696,5,No,15,No,3,0,9
Yes,217,iOS and Android,34720,1,3,Entertainment,,2058,0,No,14,No,4,0,7
No,,ANDROID,36820,1,3,Medical,,8865,6,No,12,No,4,0,23
No,405,iOS and Android,40145,1,3,Social media,52,5940,2,No,14,No,4,1,16
No,270,iOS and Android,48860,1,2,Financial,62,5914,8,No,16,No,4,0,16
No,247,iOS and Android,5145,1,4,Medical,47,2622,6,No,21,Yes,4,0,7
No,277,iOS,23205,11,3,Other,47,12185,1,Yes,14,No,3,3,10
No,285,iOS and Android,4165,1,3,Financial,76,10609,0,No,12,No,3,2,17
No,232,ANDROID,34265,1,4,Medical,90,4345,0,No,12,No,4,1,6
No,,iOS and Android,4970,1,3,Financial,70,2177,3,No,17,No,1,1,7
No,277,iOS,11165,1,4,Social media,41,2793,4,No,17,No,3,1,13
No,217,iOS,,1,1,Medical,42,7918,1,No,14,No,4,1,11
No,262,iOS,33040,1,3,Social media,92,8789,1,No,14,No,1,0,10
Yes,217,,31360,18,1,Medical,86,2389,1,Yes,13,No,3,0,4
No,,iOS and Android,46305,1,3,Financial,89,3212,7,No,15,No,2,0,6
No,,iOS and Android,18620,1,2,Entertainment,58,19232,1,No,11,No,4,0,22
No,,iOS and Android,28630,1,2,Medical,52,2267,8,No,17,No,4,0,7
No,375,iOS and Android,29890,1,4,Medical,68,19517,3,No,11,No,3,1,32
Yes,247,iOS and Android,28455,14,3,Medical,58,2436,5,Yes,13,No,3,1,8
No,322,iOS and Android,36190,16,3,Social media,80,16064,5,Yes,22,Yes,3,1,22
Yes,247,iOS and Android,16275,1,2,Financial,39,2707,7,No,20,Yes,1,0,13
No,,ANDROID,,1,4,Financial,79,19068,1,Yes,18,No,4,0,33
No,240,iOS and Android,,1,2,Financial,56,3931,2,No,11,No,1,1,6
Yes,240,iOS and Android,18025,1,Three,,62,3730,0,Yes,14,No,4,0,4
No,292,iOS and Android,50085,1,4,Medical,96,2232,7,,14,No,3,3,7
No,240,ANDROID,34160,26,4,Social media,,4465,0,No,18,No,1,0,4
No,307,iOS and Android,49385,19,2,Financial,,3072,2,No,16,No,1,2,17
No,300,iOS and Android,45500,24,2,Entertainment,62,3319,1,No,17,No,1,2,9
No,,iOS and Android,8820,1,3,Other,70,19202,0,No,11,No,3,1,25
No,232,iOS,46445,1,4,Medical,73,13675,9,No,12,No,1,1,9
No,247,iOS and Android,29120,1,4,Financial,63,2911,1,No,13,No,3,1,2
No,255,iOS and Android,16450,1,4,Financial,84,5957,6,No,13,No,2,1,13
No,277,iOS and Android,35595,1,2,Medical,83,3920,2,No,14,No,1,1,17
No,,iOS,41965,1,4,Financial,77,6434,4,No,17,No,4,1,9
Yes,277,iOS,17640,10,3,Medical,61,10048,6,No,11,No,2,2,17
No,292,iOS,17675,1,4,Movie,64,10938,0,No,25,Yes,4,0,20
No,217,iOS and Android,23275,15,3,Financial,60,2340,1,No,19,No,1,0,6
No,,iOS and Android,32060,17,2,Financial,82,6545,3,Yes,13,No,3,0,10
No,217,iOS and Android,43645,,2,Social media,45,6931,2,No,14,No,4,1,10
No,187,iOS and Android,23975,,3,Financial,62,4898,0,No,12,No,4,2,5
No,,iOS and Android,9415,1,3,Medical,56,2593,0,Yes,11,No,3,1,10
No,300,iOS and Android,49560,1,2,Medical,49,19436,0,No,19,No,4,1,22
No,382,iOS and Android,29155,1,3,Financial,96,2723,1,No,11,No,2,0,1
Yes,232,iOS,10745,29,2,Medical,71,3479,0,No,11,No,2,0,6
No,240,iOS,45885,1,3,Financial,100,2794,1,No,20,Yes,3,0,5
No,285,ANDROID,46445,1,2,Financial,39,5249,3,No,18,No,4,1,13
No,240,iOS and Android,4480,1,1,Entertainment,84,2176,4,No,13,No,4,0,9
No,345,iOS and Android,17080,1,3,Entertainment,75,16872,3,Yes,12,No,2,1,28
Yes,210,iOS and Android,18515,1,4,Financial,79,3485,2,,11,No,3,0,5
No,217,iOS and Android,42350,1,Three,Medical,,6644,2,No,19,No,2,2,10
No,232,iOS and Android,51205,23,3,Medical,,5582,0,No,21,Yes,2,1,10
No,187,ANDROID,23625,1,2,Financial,85,4000,1,No,12,No,4,2,6
No,,iOS and Android,48475,20,2,Medical,79,13496,0,Yes,14,No,2,0,21
No,270,,49105,1,3,Financial,47,3210,0,No,11,No,3,1,16
No,412,iOS and Android,15820,1,3,Medical,81,19045,0,Yes,14,No,3,0,37
Yes,352,ANDROID,23310,29,4,Financial,88,11849,1,Yes,12,No,4,1,10
No,210,iOS and Android,40530,1,3,Medical,94,2070,1,No,23,Yes,4,1,5
No,277,iOS and Android,7980,1,4,Medical,98,6502,4,No,14,No,2,1,7
No,157,iOS and Android,34860,1,2,Medical,100,3230,1,No,17,No,1,0,3
No,277,ANDROID,25480,1,4,Medical,80,13603,2,Yes,18,No,1,2,15
No,262,iOS and Android,46025,22,3,Financial,71,11996,7,No,18,No,2,1,10
No,285,iOS and Android,,1,2,Medical,44,5605,1,Yes,24,Yes,3,1,8
No,195,iOS,51765,1,3,Financial,84,6397,1,No,20,Yes,1,1,6
No,375,iOS and Android,27895,1,1,Financial,96,19144,3,No,14,No,1,2,28
No,397,iOS and Android,,1,4,Medical,45,17584,3,Yes,16,No,4,3,21
No,,iOS and Android,,1,1,Financial,99,4907,1,No,25,Yes,3,0,20
No,217,iOS,15470,1,2,Financial,44,4554,1,No,18,No,1,0,10
No,412,iOS and Android,5145,20,2,Entertainment,37,5415,3,Yes,19,No,4,1,12
No,195,iOS,17360,11,2,Medical,60,4741,1,Yes,13,No,3,1,5
No,277,iOS and Android,48020,1,3,Financial,42,2115,1,No,12,No,2,0,17
Yes,330,iOS,32200,24,3,Financial,43,3161,3,Yes,22,Yes,4,1,19
No,285,iOS and Android,24080,23,4,,82,5745,9,No,14,No,2,1,10
Yes,195,iOS and Android,50715,16,4,Medical,45,2373,2,Yes,13,No,4,1,5
No,210,iOS and Android,39095,1,2,Financial,,3310,1,No,21,Yes,4,0,5
No,367,iOS,22260,10,4,Financial,,18665,9,Yes,11,No,4,0,22
No,270,iOS and Android,17710,1,Three,Entertainment,3,4485,4,No,12,No,4,0,10
No,232,iOS,,1,3,Social media,84,2789,1,No,11,No,3,1,2
Yes,195,iOS and Android,33250,1,4,Social media,48,5828,1,Yes,12,No,2,0,8
No,277,iOS,31115,1,3,Medical,53,2326,1,Yes,12,No,3,3,4
No,,iOS,19425,26,3,Social media,77,13525,5,No,14,No,4,1,23
Yes,35,iOS and Android,8050,1,3,Financial,54,1420,1,No,13,No,3,0,0
No,262,iOS and Android,43120,16,3,Social media,96,8020,0,No,15,No,3,2,12
No,270,iOS,19810,18,4,Financial,81,3688,4,No,18,No,4,2,4
No,382,iOS and Android,45570,1,3,Medical,84,5482,5,No,18,No,4,1,13
No,307,iOS and Android,,1,4,Financial,88,16015,1,No,19,No,2,0,22
No,35,iOS and Android,28420,10,3,Medical,69,1200,1,No,12,No,1,0,0
No,210,,51660,16,2,Medical,68,5661,0,No,19,No,3,0,9
No,232,iOS and Android,7630,1,3,Entertainment,100,6929,4,No,11,No,2,1,10
No,292,iOS and Android,39620,1,3,Medical,48,9613,0,No,17,No,1,3,19
No,270,ANDROID,38675,24,4,Financial,47,5674,7,No,15,No,3,1,11
No,240,iOS and Android,31710,1,3,Financial,91,5484,1,No,14,No,3,1,13
No,285,iOS and Android,29715,25,2,Financial,81,12061,3,No,17,No,3,1,19
No,435,ANDROID,13650,1,4,Financial,32,5660,2,Yes,13,No,4,1,12
No,232,iOS and Android,24185,1,4,Entertainment,86,4821,0,Yes,12,No,3,1,6
No,232,iOS and Android,3710,1,3,Tour and Travel,62,6410,3,No,12,No,4,0,9
No,,iOS,43715,1,3,Financial,97,5210,1,No,18,No,1,1,24
No,232,iOS and Android,6720,1,4,Financial,32,2695,0,,18,No,2,1,3
No,247,iOS,,1,4,Financial,,11878,6,No,11,No,2,2,12
No,292,iOS and Android,4095,10,1,Medical,,17068,1,Yes,14,No,4,0,21
No,322,iOS,6475,10,4,Financial,33,2455,0,No,19,No,1,0,9
No,367,iOS and Android,38185,1,2,Entertainment,90,13964,7,Yes,12,No,4,0,25
Yes,,iOS and Android,25305,1,4,Medical,85,4941,2,No,15,No,1,0,11
No,202,iOS and Android,42700,1,Three,Financial,85,2478,1,Yes,12,No,2,0,4
No,240,iOS and Android,20580,1,2,Entertainment,65,5228,1,Yes,11,No,4,0,13
No,202,iOS and Android,48195,1,3,Financial,74,4478,1,Yes,11,No,1,0,5
No,232,iOS and Android,24185,1,3,Social media,73,7547,4,No,12,No,4,3,13
No,240,iOS and Android,35630,1,4,Medical,74,5055,7,No,16,No,3,0,10
Yes,210,iOS and Android,40495,1,4,Medical,84,3464,5,Yes,13,No,4,0,5
No,225,iOS and Android,44625,28,2,Medical,64,5775,1,No,13,No,4,2,11
No,232,iOS,27930,1,2,Financial,48,8943,1,No,24,Yes,1,1,10
No,292,iOS,23520,1,2,Medical,54,19272,1,No,15,No,1,1,21
Yes,292,iOS and Android,40670,1,2,Medical,41,5238,4,Yes,18,No,1,0,12
No,247,iOS,17780,10,3,Social media,46,4682,3,No,14,No,3,0,9
No,352,iOS and Android,51870,1,5,Financial,42,18300,4,No,11,No,2,1,21
No,322,iOS,19565,10,4,Financial,82,5257,1,No,11,No,2,1,9
